station_id,country,region,Name2,Name,lat,lon,height,year,Tem1,Tem2,Tem3,Tem4,Tem5,Tem6,Tem7,Tem8,Tem9,Tem10,Tem11,Tem12,Os1,Os2,Os3,Os4,Os5,Os6,Os7,Os8,Os9,Os10,Os11,Os12
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1952,7.0,7.0,8.4,13.4,16.3,20.4,23.1,26.2,24.6,17.4,13.3,11.7,126.0,194.0,27.0,5.0,55.0,15.0,,,11.0,111.0,138.0,39.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1953,7.4,6.9,4.6,12.9,16.6,22.0,24.8,24.7,19.9,15.5,7.5,2.8,107.0,114.0,43.0,29.0,52.0,78.0,,,17.0,58.0,21.0,43.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1954,1.4,2.9,9.1,10.7,17.8,24.1,26.0,26.0,21.9,17.2,11.3,7.2,90.0,88.0,45.0,57.0,42.0,4.0,11.0,0.3,12.0,10.0,72.0,103.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1955,8.7,11.2,9.5,10.6,17.9,21.6,24.8,23.7,21.6,18.3,10.6,8.0,77.0,82.0,47.0,80.0,1.0,6.0,9.0,6.0,0.5,53.0,293.0,49.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1956,6.6,4.8,5.2,13.2,17.1,21.3,24.4,25.5,20.4,14.5,10.0,5.1,63.0,102.0,78.0,32.0,26.0,17.0,13.0,7.0,0.7,10.0,61.0,42.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1957,4.1,7.9,7.5,12.2,16.4,22.3,24.1,25.6,22.2,17.8,11.1,6.4,47.0,29.0,24.0,21.0,42.0,30.0,0.3,,18.0,7.0,83.0,59.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1958,5.7,9.4,9.1,12.8,19.2,21.8,24.5,24.4,19.5,14.8,11.1,8.9,89.0,18.0,124.0,61.0,23.0,15.0,0.4,6.0,30.0,68.0,45.0,103.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1959,5.8,3.0,7.5,12.9,16.7,20.8,24.5,24.6,18.4,13.1,10.0,9.4,143.0,11.0,44.0,28.0,29.0,42.0,45.0,0.0,4.0,37.0,55.0,121.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1960,6.9,6.8,8.0,11.8,17.3,20.6,23.5,24.4,20.1,18.7,13.1,11.1,122.0,93.0,45.0,37.0,84.0,74.0,4.0,0.0,26.0,24.0,63.0,144.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1961,5.1,5.2,8.6,14.6,17.7,21.9,23.5,24.5,18.9,15.7,13.6,8.3,62.0,64.0,15.0,53.0,29.0,45.0,3.0,5.0,8.0,23.0,54.0,60.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1962,6.5,5.1,10.7,12.1,18.2,21.1,23.8,25.6,21.4,17.0,15.3,8.4,62.0,95.0,103.0,42.0,22.0,13.0,4.0,,7.0,59.0,112.0,294.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1963,5.6,8.7,7.0,10.9,16.7,21.7,25.1,25.7,22.4,16.5,11.4,7.8,187.0,78.0,47.0,48.0,30.0,31.0,10.0,,7.0,66.0,49.0,177.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1964,0.3,4.5,8.1,12.6,15.9,22.0,23.6,22.7,19.1,16.5,10.0,8.1,16.0,73.0,116.0,8.0,45.0,2.0,0.0,10.0,65.0,0.0,74.0,153.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1965,5.3,2.9,8.3,11.5,16.7,22.4,24.4,22.4,21.2,13.6,11.4,9.0,43.0,200.0,33.0,148.0,48.0,3.0,0.0,13.0,0.0,16.0,111.0,89.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1966,6.5,9.6,8.6,13.9,16.6,20.4,24.9,25.2,20.0,18.8,13.7,8.2,137.0,13.0,139.0,120.0,55.0,24.0,0.0,20.0,36.0,12.0,53.0,115.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1967,3.3,3.2,8.1,13.1,17.4,20.3,24.3,24.6,20.7,16.2,10.9,7.8,161.0,21.0,46.0,69.0,18.0,48.0,0.0,0.3,59.0,66.0,16.0,97.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1968,3.8,6.3,7.4,13.9,20.4,21.7,24.3,22.7,19.9,14.3,10.7,7.9,264.0,63.0,56.0,17.0,60.0,24.0,,49.0,67.0,14.0,43.0,59.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1969,3.6,8.2,7.6,10.9,19.5,23.3,22.0,24.1,22.0,15.7,12.5,9.5,120.0,70.0,56.0,46.0,10.0,64.0,53.0,4.0,0.9,2.0,5.0,150.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1970,7.7,9.5,10.2,15.5,16.8,21.9,24.7,24.3,20.0,14.4,10.8,6.4,72.0,156.0,59.0,56.0,44.0,10.0,6.0,4.0,19.0,35.0,72.0,65.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1971,8.6,6.1,8.8,12.0,18.5,21.7,23.0,24.3,20.5,13.7,10.8,5.2,76.0,70.0,93.0,20.0,30.0,13.0,11.0,3.0,16.0,20.0,94.0,99.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1972,2.8,5.2,8.6,15.9,17.6,22.5,24.8,24.0,21.3,14.5,10.7,4.6,35.0,27.0,22.0,76.0,66.0,29.0,11.0,52.0,52.0,88.0,36.0,0.2
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1973,4.0,8.2,7.0,12.2,18.0,20.4,24.8,22.6,21.1,16.3,8.2,6.9,29.0,123.0,49.0,100.0,16.0,34.0,7.0,27.0,16.0,66.0,132.0,111.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1974,1.5,6.0,8.2,11.3,16.9,21.8,23.7,23.5,20.6,18.9,10.5,5.2,36.0,66.0,53.0,52.0,86.0,5.0,8.0,5.0,18.0,4.0,88.0,81.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1975,3.6,4.0,10.4,14.3,17.4,21.8,24.7,23.7,21.0,15.7,9.4,3.2,119.0,37.0,65.0,60.0,79.0,25.0,0.0,0.0,11.0,15.0,88.0,29.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1976,3.4,2.8,6.8,12.6,16.3,20.3,23.5,20.8,19.1,15.9,11.2,5.6,42.0,35.0,12.0,193.0,41.0,18.0,7.0,62.0,5.0,98.0,19.0,71.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1977,5.2,9.2,8.4,12.1,17.5,22.1,24.0,25.0,19.9,12.8,12.0,5.5,40.0,23.0,45.0,41.0,5.0,2.0,4.0,0.0,155.0,16.0,111.0,84.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1978,4.6,8.4,9.7,12.4,17.7,22.0,23.7,22.0,18.4,15.1,8.6,7.6,201.0,135.0,330.0,71.0,59.0,0.3,0.0,50.0,120.0,56.0,73.0,15.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1979,6.2,7.7,10.4,12.2,17.1,22.7,23.6,24.1,20.4,15.8,10.7,7.0,110.0,57.0,26.0,55.0,42.0,20.0,4.0,9.0,9.0,28.0,110.0,74.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1980,3.3,5.1,7.1,11.7,16.7,21.0,23.7,23.8,18.5,17.2,11.9,6.8,148.0,27.0,308.0,65.0,59.0,73.0,28.0,0.0,7.0,9.0,126.0,111.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1981,4.3,5.1,10.0,12.6,15.5,22.6,23.1,23.4,20.5,18.3,8.3,10.5,146.0,28.0,51.0,5.0,75.0,0.0,11.0,28.0,16.0,32.0,98.0,300.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1982,5.5,3.3,6.6,12.7,16.0,21.5,22.0,22.8,21.7,15.7,8.7,7.9,49.0,30.0,26.0,77.0,66.0,2.0,25.0,0.0,0.0,39.0,3.0,104.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1983,3.3,4.2,8.6,14.2,18.2,21.0,24.7,22.6,20.1,14.3,9.8,7.1,48.0,50.0,13.0,45.0,30.0,11.0,52.0,0.0,0.0,38.0,108.0,58.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1984,6.4,7.0,7.8,10.6,19.0,21.0,23.0,22.0,21.4,17.0,10.7,4.7,76.0,70.0,63.0,103.0,10.0,5.0,27.0,5.0,0.0,22.0,71.0,13.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1985,7.9,1.6,7.4,14.6,19.4,21.7,22.9,24.1,19.5,13.1,11.5,7.3,125.0,38.0,52.0,8.0,48.0,5.0,0.0,0.0,0.0,9.0,107.0,40.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1986,7.7,7.5,7.8,14.3,15.7,22.6,24.1,25.6,21.7,14.7,7.4,4.8,119.0,105.0,17.0,21.0,11.0,19.0,0.0,0.0,0.0,21.0,25.0,86.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1987,6.4,6.7,4.1,10.8,16.6,21.6,24.8,23.1,21.2,14.2,9.6,5.7,165.0,44.0,31.0,24.0,39.0,17.0,3.0,0.0,0.0,31.0,114.0,136.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1988,5.3,5.0,8.6,12.3,17.0,22.3,25.7,24.5,20.1,14.5,6.8,6.1,18.0,46.0,107.0,41.0,11.0,23.0,0.0,0.0,5.0,20.0,167.0,112.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1989,1.7,5.3,9.5,15.9,16.2,20.2,23.4,23.9,20.1,13.9,8.6,5.5,11.0,4.0,45.0,10.0,32.0,35.0,2.0,0.0,10.0,60.0,65.0,121.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1990,3.0,6.3,8.5,13.3,16.0,20.7,23.8,23.2,19.1,15.3,11.5,7.2,5.0,37.0,31.0,67.0,21.0,17.0,0.3,0.0,13.0,31.0,166.0,119.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1991,4.3,4.2,7.5,11.5,15.8,21.1,23.6,23.9,19.6,15.1,10.1,2.2,18.0,106.0,16.0,69.0,123.0,0.3,6.0,0.0,8.0,23.0,26.0,27.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1992,1.8,1.7,7.2,12.2,14.9,21.5,22.6,25.1,19.5,17.7,8.0,3.5,3.0,26.0,64.0,46.0,18.0,38.0,26.0,0.0,0.0,40.0,73.0,65.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1993,1.7,2.9,7.2,11.5,15.7,21.2,23.2,24.5,20.3,16.7,8.1,7.8,26.0,73.0,40.0,53.0,60.0,1.0,8.0,15.0,15.0,12.0,65.0,58.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1994,6.1,5.0,8.1,13.9,17.8,21.1,24.3,24.8,23.5,17.6,7.9,3.7,36.0,83.0,26.0,20.0,29.0,23.0,137.0,0.0,0.0,50.0,84.0,62.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1995,6.0,6.9,7.8,11.0,17.2,24.2,24.3,24.0,20.5,13.2,5.9,6.9,114.0,15.0,114.0,65.0,3.0,9.0,4.0,8.0,18.0,20.0,100.0,62.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1996,2.9,5.8,5.2,10.0,19.3,21.4,23.8,23.7,19.2,13.1,10.2,9.3,106.0,74.0,104.0,20.0,12.0,0.0,0.0,9.0,59.0,19.0,12.0,108.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1997,5.3,4.0,5.7,9.3,17.8,22.3,24.9,22.7,18.4,14.4,10.1,6.7,76.0,34.0,76.0,102.0,3.0,8.0,3.0,3.0,0.0,111.0,51.0,180.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1998,3.8,5.6,5.9,14.0,16.6,21.9,25.4,25.2,20.1,15.7,10.8,5.6,49.0,70.0,67.0,22.0,106.0,0.0,0.0,0.0,16.0,97.0,117.0,78.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1999,5.3,5.6,8.4,13.1,18.0,23.2,25.8,25.0,20.9,16.7,10.4,8.7,42.0,158.0,73.0,40.0,1.0,6.0,19.0,0.8,5.0,10.0,69.0,56.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2000,1.8,4.9,7.0,14.8,17.0,21.3,25.5,24.0,20.7,14.5,10.4,7.2,45.0,103.0,85.0,69.0,32.0,20.0,0.0,2.0,4.0,52.0,34.0,26.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2001,6.8,6.6,12.6,13.3,17.2,22.5,26.7,25.7,21.4,16.5,9.7,4.6,22.0,83.0,22.0,76.0,102.0,27.0,0.0,2.0,29.0,0.0,110.0,136.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2002,2.3,7.9,9.3,11.9,17.2,23.2,27.1,25.9,20.5,15.2,9.3,4.3,57.0,45.0,76.0,77.0,42.0,1.0,12.0,3.0,54.0,60.0,79.0,54.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2003,7.9,2.3,4.5,9.9,18.9,23.4,25.4,25.3,19.6,16.3,8.6,5.6,71.0,79.0,31.0,70.0,22.0,0.0,0.0,0.0,40.0,54.0,44.0,66.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2004,4.1,4.8,9.0,12.2,17.1,22.3,25.0,24.1,21.1,17.5,10.4,7.0,138.0,34.0,24.0,49.0,17.0,22.0,1.0,7.0,0.0,7.0,173.0,34.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2005,5.5,5.8,8.2,13.2,18.0,21.5,25.7,26.2,21.1,13.9,9.5,7.5,87.0,90.0,89.0,34.0,34.0,28.0,10.0,1.0,13.0,17.0,99.0,60.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2006,2.5,4.7,9.0,13.4,17.5,22.2,23.8,26.4,19.6,15.9,7.3,3.4,46.0,71.0,71.0,21.0,14.0,71.0,3.0,0.0,69.0,47.0,32.0,29.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2007,5.5,6.5,8.8,11.0,19.5,24.9,26.4,26.7,21.1,16.3,8.8,4.3,29.0,18.0,44.0,15.0,44.0,7.0,0.0,0.0,0.0,90.0,102.0,120.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2008,1.3,3.6,11.4,14.1,17.2,23.5,25.0,26.2,20.4,15.9,11.2,6.4,37.0,13.0,54.0,42.0,5.0,14.0,0.0,4.0,33.0,39.0,53.0,60.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2009,5.2,7.0,8.3,12.0,17.6,22.8,25.5,24.3,20.0,17.4,9.3,8.9,120.0,120.0,121.0,54.0,52.0,35.0,2.0,0.0,29.0,31.0,93.0,118.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2010,6.1,9.3,9.0,13.0,18.5,22.5,25.5,27.5,21.4,14.6,13.3,8.5,165.0,167.0,39.0,37.0,44.0,96.0,1.0,2.0,58.0,202.0,31.0,155.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2011,4.2,5.0,7.6,10.3,16.1,21.7,26.1,24.1,21.8,12.9,5.8,5.3,37.0,34.0,40.0,65.0,36.0,4.0,4.0,0.0,91.0,94.0,1.0,153.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2012,2.6,2.2,7.1,14.2,17.4,24.1,27.1,25.3,22.3,18.4,12.4,6.8,78.0,119.0,40.0,68.0,87.0,0.0,0.0,14.0,7.0,26.0,33.0,141.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2013,6.2,8.0,10.7,13.1,19.7,22.7,24.9,25.8,20.7,13.4,11.0,1.6,132.0,111.0,90.0,43.0,5.0,17.0,0.0,0.0,12.0,64.0,115.0,22.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2014,7.3,7.3,9.5,13.6,17.4,21.8,25.5,25.6,20.4,15.8,10.5,8.5,41.0,10.0,46.0,114.0,40.0,94.0,5.0,25.0,99.0,83.0,38.0,115.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2015,4.5,6.3,8.8,11.0,18.7,21.1,25.0,26.1,23.1,16.0,11.6,3.0,97.0,64.0,62.0,69.0,36.0,93.0,0.0,0.0,49.0,108.0,73.0,2.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2016,3.9,10.2,10.3,15.6,17.5,24.0,26.0,25.8,21.1,15.5,9.6,2.7,178.0,49.0,132.0,12.0,50.0,18.0,0.0,0.0,3.0,16.0,126.0,42.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2017,1.9,6.7,9.5,12.3,17.2,22.9,25.3,25.0,21.9,14.3,9.4,8.6,172.0,52.0,59.0,35.0,40.0,13.0,7.0,11.0,3.0,37.0,50.0,85.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2018,4.9,8.4,11.8,14.9,19.4,22.9,25.8,26.3,21.4,16.5,11.9,5.0,37.0,70.0,101.0,18.0,33.0,69.0,46.0,0.5,19.0,10.0,50.0,63.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2019,5.8,6.4,9.4,12.3,19.0,24.4,24.4,25.4,21.5,17.3,12.6,6.5,106.0,45.0,26.0,76.0,37.0,15.0,37.0,0.0,3.0,51.0,49.0,55.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2020,4.4,7.0,9.4,11.6,17.7,21.8,25.2,25.3,23.6,18.2,9.8,9.3,55.0,68.0,43.0,52.0,61.0,72.0,0.6,0.0,0.0,25.0,29.0,37.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2021,6.8,6.5,6.8,12.6,18.6,21.4,26.4,26.3,20.6,14.7,12.0,8.2,175.0,79.0,94.0,99.0,18.0,54.0,0.4,0.0,8.0,48.0,75.0,62.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2022,3.8,6.1,4.4,13.7,18.1,23.2,24.8,25.7,21.3,16.1,12.3,8.8,40.0,124.0,32.0,52.0,6.0,30.0,50.0,15.0,10.0,1.0,52.0,67.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2023,6.8,5.2,9.8,12.3,16.3,21.7,26.2,26.7,22.6,17.4,13.1,9.0,90.0,20.0,69.0,128.0,107.0,32.0,0.0,0.6,21.0,18.0,166.0,83.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2024,6.7,8.3,9.9,15.8,16.7,25.8,27.7,26.4,22.5,16.4,9.7,8.0,111.0,24.0,80.0,43.0,26.0,0.0,15.0,0.0,21.0,4.0,76.0,131.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2025,6.7,4.6,11.1,11.6,18.0,23.6,27.6,26.0,22.0,14.9,12.0,6.0,75.0,44.0,33.0,51.0,34.0,0.0,0.0,5.0,10.0,115.0,68.0,22.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,2026,6.9,8.4,,,,,,,,,,,121.0,179.0,,,,,,,,,,
